event_index,mode,problem_slug,difficulty,stage,expected_action,system_action,agreement,wall_latency_ms
263,RULE,longest-substring,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
264,RULE,longest-substring,medium,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,45
265,RULE,reverse-linked-list,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
266,RULE,reverse-linked-list,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,52
267,RULE,reverse-linked-list,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,40
268,RULE,reverse-linked-list,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
269,RULE,reverse-linked-list,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
270,RULE,reverse-linked-list,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,46
271,RULE,matrix-diagonal-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
272,RULE,matrix-diagonal-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,23
273,RULE,matrix-diagonal-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
274,RULE,matrix-diagonal-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,40
275,RULE,matrix-diagonal-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
276,RULE,matrix-diagonal-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,44
277,RULE,roman-to-integer,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
278,RULE,roman-to-integer,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,45
279,RULE,roman-to-integer,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
280,RULE,roman-to-integer,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,60
281,RULE,roman-to-integer,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
282,RULE,roman-to-integer,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,47
283,RULE,climbing-stairs,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,26
284,RULE,climbing-stairs,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,60
285,RULE,climbing-stairs,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,52
286,RULE,climbing-stairs,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
287,RULE,climbing-stairs,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,41
288,RULE,climbing-stairs,easy,local_completion,NO_FEEDBACK,CODE_HIGHLIGHT,false,46
1,ML,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,365
2,ML,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,125
3,ML,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,87
4,ML,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,59
5,ML,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
6,ML,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,50
7,ML,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,59
8,ML,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,45
9,ML,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
10,ML,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,61
11,ML,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,54
12,ML,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,44
13,ML,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,66
14,ML,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,68
15,ML,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,61
16,ML,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,57
17,ML,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,41
18,ML,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,43
19,ML,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,38
20,ML,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,60
21,ML,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,41
22,ML,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,52
23,ML,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,65
24,ML,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,50
25,ML,merge-sorted-array,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,53
26,ML,merge-sorted-array,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,64
27,ML,merge-sorted-array,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,43
28,ML,merge-sorted-array,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,72
29,ML,merge-sorted-array,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,54
30,ML,merge-sorted-array,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,62
31,ML,trapping-rain-water,hard,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
32,ML,trapping-rain-water,hard,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,40
33,ML,trapping-rain-water,hard,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,53
34,ML,trapping-rain-water,hard,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,66
35,ML,trapping-rain-water,hard,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
36,ML,trapping-rain-water,hard,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,52
37,ML,lru-cache,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,60
38,ML,lru-cache,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,63
39,ML,lru-cache,medium,first_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,59
40,ML,lru-cache,medium,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,48
41,ML,lru-cache,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
42,ML,lru-cache,medium,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,62
43,ML,longest-substring,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,62
44,ML,longest-substring,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,60
45,ML,longest-substring,medium,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,59
46,ML,longest-substring,medium,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
47,ML,longest-substring,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
48,ML,longest-substring,medium,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,44
49,ML,reverse-linked-list,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
50,ML,reverse-linked-list,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,48
51,ML,reverse-linked-list,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,32
52,ML,reverse-linked-list,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
53,ML,reverse-linked-list,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
54,ML,reverse-linked-list,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,70
55,ML,matrix-diagonal-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,55
56,ML,matrix-diagonal-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,61
57,ML,matrix-diagonal-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,59
58,ML,matrix-diagonal-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
59,ML,matrix-diagonal-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
60,ML,matrix-diagonal-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,46
61,ML,roman-to-integer,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,41
62,ML,roman-to-integer,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,35
63,ML,roman-to-integer,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
64,ML,roman-to-integer,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
65,ML,roman-to-integer,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,34
66,ML,roman-to-integer,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,43
67,ML,climbing-stairs,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,32
68,ML,climbing-stairs,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,30
69,ML,climbing-stairs,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
70,ML,climbing-stairs,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
71,ML,climbing-stairs,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,34
72,ML,climbing-stairs,easy,local_completion,NO_FEEDBACK,CODE_HIGHLIGHT,false,45
73,ML,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,74
74,ML,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,51
75,ML,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,51
76,ML,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,56
77,ML,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
78,ML,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,41
79,ML,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
80,ML,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
81,ML,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,33
82,ML,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,31
83,ML,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,55
84,ML,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,49
85,ML,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,31
86,ML,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,58
87,ML,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,45
88,ML,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,44
89,ML,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
90,ML,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,49
91,ML,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
92,ML,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,50
93,ML,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
94,ML,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
95,ML,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,39
96,ML,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,58
97,ML,merge-sorted-array,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,56
98,ML,merge-sorted-array,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,45
99,ML,merge-sorted-array,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
100,ML,merge-sorted-array,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
101,ML,merge-sorted-array,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,28
102,ML,merge-sorted-array,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,48
103,ML,trapping-rain-water,hard,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,29
104,ML,trapping-rain-water,hard,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
105,ML,trapping-rain-water,hard,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
106,ML,trapping-rain-water,hard,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
107,ML,trapping-rain-water,hard,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
108,ML,trapping-rain-water,hard,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,45
109,ML,lru-cache,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,50
110,ML,lru-cache,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,33
111,ML,lru-cache,medium,first_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,42
112,ML,lru-cache,medium,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,46
113,ML,lru-cache,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
114,ML,lru-cache,medium,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,48
115,ML,longest-substring,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,28
116,ML,longest-substring,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
117,ML,longest-substring,medium,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,70
118,ML,longest-substring,medium,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,62
119,ML,longest-substring,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,29
120,ML,longest-substring,medium,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,58
121,ML,reverse-linked-list,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,41
122,ML,reverse-linked-list,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
123,ML,reverse-linked-list,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
124,ML,reverse-linked-list,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,28
125,ML,reverse-linked-list,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
126,ML,reverse-linked-list,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,30
127,ML,matrix-diagonal-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,31
128,ML,matrix-diagonal-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,54
129,ML,matrix-diagonal-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,52
130,ML,matrix-diagonal-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
131,ML,matrix-diagonal-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
132,ML,matrix-diagonal-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,47
133,ML,roman-to-integer,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
134,ML,roman-to-integer,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
135,ML,roman-to-integer,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,49
136,ML,roman-to-integer,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,29
137,ML,roman-to-integer,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
138,ML,roman-to-integer,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,54
139,ML,climbing-stairs,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,51
140,ML,climbing-stairs,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,48
141,ML,climbing-stairs,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,54
142,ML,climbing-stairs,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,54
143,ML,climbing-stairs,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
144,ML,climbing-stairs,easy,local_completion,NO_FEEDBACK,CODE_HIGHLIGHT,false,29
145,ML,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,49
146,ML,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,44
147,ML,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,52
148,ML,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,30
149,ML,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
150,ML,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,44
151,ML,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
152,ML,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,28
153,ML,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,50
154,ML,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
155,ML,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
156,ML,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,43
157,ML,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,58
158,ML,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,51
159,ML,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,56
160,ML,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,50
161,ML,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
162,ML,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,48
163,ML,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,49
164,ML,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
165,ML,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,29
166,ML,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,28
167,ML,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
168,ML,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,50
169,ML,merge-sorted-array,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,25
170,ML,merge-sorted-array,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,50
171,ML,merge-sorted-array,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
172,ML,merge-sorted-array,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
173,ML,merge-sorted-array,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,30
174,ML,merge-sorted-array,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,49
175,ML,trapping-rain-water,hard,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,33
176,ML,trapping-rain-water,hard,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,43
177,ML,trapping-rain-water,hard,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
178,ML,trapping-rain-water,hard,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,41
179,ML,trapping-rain-water,hard,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
180,ML,trapping-rain-water,hard,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,76
181,ML,lru-cache,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,56
182,ML,lru-cache,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,56
183,ML,lru-cache,medium,first_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,42
184,ML,lru-cache,medium,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,51
185,ML,lru-cache,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
186,ML,lru-cache,medium,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,45
187,ML,longest-substring,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,43
188,ML,longest-substring,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
189,ML,longest-substring,medium,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
190,ML,longest-substring,medium,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
191,ML,longest-substring,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
192,ML,longest-substring,medium,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,46
193,ML,reverse-linked-list,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,29
194,ML,reverse-linked-list,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,45
195,ML,reverse-linked-list,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
196,ML,reverse-linked-list,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
197,ML,reverse-linked-list,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,28
198,ML,reverse-linked-list,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,47
199,ML,matrix-diagonal-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
200,ML,matrix-diagonal-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,27
201,ML,matrix-diagonal-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,52
202,ML,matrix-diagonal-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
203,ML,matrix-diagonal-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,54
204,ML,matrix-diagonal-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,51
205,ML,roman-to-integer,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
206,ML,roman-to-integer,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
207,ML,roman-to-integer,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
208,ML,roman-to-integer,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,30
209,ML,roman-to-integer,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,28
210,ML,roman-to-integer,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,30
211,ML,climbing-stairs,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,50
212,ML,climbing-stairs,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
213,ML,climbing-stairs,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
214,ML,climbing-stairs,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
215,ML,climbing-stairs,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
216,ML,climbing-stairs,easy,local_completion,NO_FEEDBACK,CODE_HIGHLIGHT,false,28
217,ML,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
218,ML,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,51
219,ML,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,29
220,ML,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
221,ML,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
222,ML,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,49
223,ML,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
224,ML,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,58
225,ML,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,51
226,ML,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
227,ML,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
228,ML,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,48
229,ML,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
230,ML,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
231,ML,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,43
232,ML,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,47
233,ML,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
234,ML,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,46
235,ML,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,27
236,ML,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,32
237,ML,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,50
238,ML,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
239,ML,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
240,ML,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,46
