event_index,mode,scenario,expert_action,system_action,agreement,wall_latency_ms
87,NO_POLICY,unfinished_todo_repeat_b,GUIDING_QUESTION,CONCEPTUAL_HINT,false,49
88,NO_POLICY,complete_return_first,NO_FEEDBACK,CONCEPTUAL_HINT,false,52
89,NO_POLICY,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,59
90,NO_POLICY,complete_return_second,NO_FEEDBACK,CONCEPTUAL_HINT,false,31
91,NO_POLICY,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,28
92,NO_POLICY,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,43
93,NO_POLICY,unfinished_todo_after_progress,GUIDING_QUESTION,CONCEPTUAL_HINT,false,47
94,NO_POLICY,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
95,NO_POLICY,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,54
96,NO_POLICY,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,26
97,NO_POLICY,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,25
98,NO_POLICY,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
99,NO_POLICY,off_by_one_first,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,54
100,NO_POLICY,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
